Contact Id,Tag Added,Should have Added,Status
Bo3LuIosyjt2NbdfQUDU,yes,question not found - skip add tag,effected
IU68KAT4kOPHO3L3dDdW,yes,question not found - skip add tag,effected
48hc1XEHhYBszxmZoFJQ,no,no,not-effected
9PAaKqXGNoDBU75RSdfw,yes,question found but answer not found - add tag,not-effected
KJCsJ5vtpH5rEtjbxEzB,yes,question not found - skip add tag,effected
tKuUGF8tAk2yjn2dxzUA,no,no,not-effected
30jvNBYPMplpalpdY8mE,yes,question not found - skip add tag,effected
4G6n0er6lsXZpKpT9duF,no,no,not-effected
lJHXCDTyTEZZrDsI4ASp,yes,question not found - skip add tag,effected
vRYh7xDxT6kdAdS27wDW,yes,question not found - skip add tag,effected
KPJqk6lFwtXAlETMwtfm,no,no,not-effected
V9DRY9tZ4bP3QTLOe5KS,yes,question not found - skip add tag,effected
lNW5vdZyXxh5Hk7gzGYT,yes,question not found - skip add tag,effected
hljkZmgYBKMNkWjm54mH,no,no,not-effected
vEztziNkqJQmeJ6caCZZ,yes,question not found - skip add tag,effected
0NVp9Ohtv5GPJvywlrmr,yes,question not found - skip add tag,effected
OocRaXeyRtYt6TcqqgPk,no,no,not-effected
sLzNDdIaJsOOITMieqBY,yes,question not found - skip add tag,effected
6YvYj3pm5IkUtN3vWqI4,yes,question not found - skip add tag,effected
vneL9FJIzAmjhzD3csFt,no,no,not-effected
KlD4SelqsmClJ2Tw1yd2,yes,question not found - skip add tag,effected
v6xMiviU86fZbmjW0aGj,yes,question not found - skip add tag,effected
bvlGzZFfVqKlLUgoj93b,yes,question found but answer not found - add tag,not-effected
HC6fWe1VzbHZP9WTIsj4,no,no,not-effected
NcQlH49onwRMBy3AoSwG,no,no,not-effected
kAy5L7qsa4uFfubtyQNB,yes,question not found - skip add tag,effected
w4RK3uRpA0R55dPUSIqO,no,no,not-effected
YXULwPh7STcKjOwyxtA7,yes,question not found - skip add tag,effected
SUSgesFCXa3lPupVwgnH,yes,question not found - skip add tag,effected
UsyFucapGts6Fzo02TFD,yes,question not found - skip add tag,effected
rZVyXleI7WmP4OUsCfLa,yes,question not found - skip add tag,effected
23uDviVFIPGQKSv4FVi3,yes,question not found - skip add tag,effected
VPfwoxlgak9MGmV9jB4t,no,no,not-effected
